"Image","Chemical Name","CAS Number","Latest Process","PublicParticipation","Open forPublic Comments"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=5363377&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","(Z)-8-Dodecen-1-yl acetate","28079-04-1","Registered","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=62789&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Benzoic acid, 3,6-dichloro-2-methoxy-, compd with 2,2'-iminobis(ethanol)  (1:1)","25059-78-3","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=18772449&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dicamba, diglycolamine salt","104040-79-1","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=24835137&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dicamba, isopropylamine salt","55871-02-8","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=16811&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dicamba, dimethylamine salt","2300-66-5","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=23679265&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dicamba, potassium salt","10007-85-9","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=86453&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Cloransulam-methyl","147150-35-4","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=3552&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Benzoic acid, 4-((dichloroamino)sulfonyl)-","80-13-7","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=8695&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Benzoic acid, 4-(butylamino)-, 2-(dimethylamino)ethyl ester, monohydrochloride","136-47-0","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=114994&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Halofenozide","112226-61-6","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=44072&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Sodium acifluorfen","62476-59-9","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=7187&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Benzoyl peroxide (No longer approved for inert use)  ","94-36-0","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=244&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Benzyl alcohol","100-51-6","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=2345&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Benylate","120-51-4","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=62576&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Benzyl bromoacetate","5437-45-6","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=19518&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Benzyl diethyl ((2,6-xylylcarbamoyl)methyl) ammonium benzoate","3734-33-6","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=62389&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Benzyladenine","1214-39-7","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Bergamot oil","8007-75-8","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=176879&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Bifenazate","149877-41-8","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=39230&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Bifenox","42576-02-3","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=5281872&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Bifenthrin","82657-04-3","Registration Review","<img src=""cswu/r/files/static/v5Y/tick.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=44144419&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Bioresmethrin","28434-01-7","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=7095&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Biphenyl","92-52-4","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=16683087&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Bis(tributyltin) adipate","7437-35-6","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=16684297&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Bis(tributyltin) dodecenylsuccinate","12379-54-3","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=16682974&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Bis(tributyltin) sulfide","4808-30-4","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=23682789&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Bispyribac-sodium","125401-92-5","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=241&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Bitumen","8052-42-4","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Bone oil","8001-85-2","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=16211214&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Borax (B4Na2O7.10H2O)  ","1303-96-4","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=7628&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Boric acid","10043-35-3","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=145326&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Boric acid (HBO2), sodium salt","7775-19-1","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=518682&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Boric oxide","1303-86-2","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=6448&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Bornyl acetate","76-49-3","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Boron sodium oxide (B4Na2O7)  (1330-43-4)","1330-43-4","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=16204497&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Boron sodium oxide (B4Na2O7), pentahydrate","12179-04-3","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=24835837&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Boron sodium oxide (B8Na2O13)  (12008-41-2)","12008-41-2","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=24835837&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Boron sodium oxide (B8Na2O13), tetrahydrate  (12280-03-4)","12280-03-4","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=41736&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Brodifacoum","56073-10-0","Reregistration","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=9411&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Bromacil","314-40-9","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=34322&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Bromadiolone","28772-56-7","Reregistration","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=44465&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Bromethalin","63333-35-7","Reregistration","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=28936&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Bromopropylate","18181-80-1","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=15531&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Bromoxynil","1689-84-5","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=15533&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Bromoxynil octanoate","1689-99-2","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=50367&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Buprofezin","69327-76-0","Registration Review","<img src=""cswu/r/files/static/v5Y/tick.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Burkholderia (Pseudomonas) cepacia type Wisconsin isolate/strain M54","","Registered","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Burkholderia (pseudomonas) cepacia type Wisconsin isolate/strain J82","","Registered","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=31677&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Butachlor","23184-66-9","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=23681127&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Butanedioic acid, 2,3-dihydroxy- {R-(R*,R*)}-, monopotassium salt","868-14-4","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=517065&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Butanedioic acid, sulfo-, 1,4-bis(2-ethylhexyl) ester, sodium salt","577-11-7","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=62619&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Butanoic acid, 4-(2,4-dichlorophenoxy)-, butyl ester","6753-24-8","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=62399&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Butanoic acid, 4-(2,4-dichlorophenoxy)-, isooctyl ester","1320-15-6","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=119&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Gamma-aminobutyric acid ","56-12-2","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=7798&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Butanoic acid, anhydride","106-31-0","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=9571009&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Butoxycarboxim","34681-23-7","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=36107&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Butoxyethanol 4-(2,4-dichlorophenoxy)butyrate","32357-46-3","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=17349&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Butoxyethyl 2,4,5-trichlorophenoxyacetate","2545-59-7","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=62037&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Butoxyethyl 2-(2,4-dichlorophenoxy)propionate","53404-31-2","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=62736&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Butoxyethyl 2-methyl-4-chlorophenoxyacetate","19480-43-4","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=24752&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Stabilene","9003-13-8","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=33040&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Butoxypropyl silvex","25537-26-2","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=36565&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Butralin","33629-47-9","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=15578&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Butyl 2-methyl-4-chlorophenoxyacetate","1713-12-8","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=10760&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Butyl 3,4-dihydro-2,2-dimethyl-4-oxo-2H-pyran-6-carboxylate","532-34-3","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=16181&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Butylate","2008-41-5","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=31343&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Butyric acid ester of dimethyl (2,2,2-trichloro-1-hydroxyethyl)phosphonate","126-22-7","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","CAS Reg. No. 83542-87-4    ( Propanoic acid, 3,3-dichloro-, 2-(2-hydroxyethoxy)ethyl ester )","83542-87-4","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=2513&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Cacodylic acid","75-60-5","Reregistration","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=2724247&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Cacodylic acid, sodium salt","124-65-2","Reregistration","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=10564&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Cadmium carbonate","513-78-0","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=24633&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Cadmium chloride","10108-64-2","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=24188545&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Cadmium sebacate","4476-04-4","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=8828&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Cadmium succinate","141-00-4","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
